text,label
i m in solihull  | do you want anything ,1
gud mrng dear hav a nice day,1
dude how do you like the buff wind ,1
yup  wun believe wat  u really neva c e msg i sent shuhui ,1
did you get any gift  this year i didnt get anything  so bad,1
hello from orange  for 1 month s free access to games  news and sport  plus 10 free texts and 20 photo messages  reply yes  terms apply  www orange co uk/ow,0
ü still attending da talks ,1
thk some of em find wtc too far    weiyi not goin    e rest i dunno yet    r ur goin 4 dinner den i might b able to join   ,1
oh is it  send me the address,1
my sister in law  hope you are having a great month  just saying hey  abiola,1
also maaaan are you missing out,1
nope  i m still in the market,1
u coming back 4 dinner rite  dad ask me so i re confirm wif u   ,1
ok  ,1
well  balls  time to make calls,1
i m ok  will do my part tomorrow,1
lol no  i just need to cash in my nitros  hurry come on before i crash out ,1
except theres a chick with huge boobs ,1
i know girls always safe and selfish know i got it pa  thank you  good night ,1
how is your schedule next week  i am out of town this weekend ,1
hi happy birthday  hi hi hi hi hi hi hi,1
hi msg me  i m in office  ,1
k k  how is your sister kids ,1
oh you got many responsibilities ,1
now press conference da  ,1
hi     my engagement has been fixd on   lt   gt  th of next month  i know its really shocking bt    hmm njan vilikkam    t ws al of a sudn    ,1
its sunny in california  the weather s just cool,1
dad went out oredi    ,1
are you willing to go for aptitude class ,1
sir  hope your day is going smoothly  i really hoped i wont have to bother you about this  i have some bills that i can t settle this month  i am out of all extra cash  i know this is a challenging time for you also but i have to let you know ,1
where are you   you said you would be here when i woke        ,1
haha awesome  i ve been to 4u a couple times  who all s coming ,1
tmr timin still da same wat cos i got lesson until 6   ,1
both    i shoot big loads so get ready ,1
fair enough  anything going on ,1
i can t describe how lucky you are that i m actually awake by noon,1
hi kindly give us back our documents which we submitted for loan from stapati,1
my love   how come it took you so long to leave for zaher s  i got your words on ym and was happy to see them but was sad you had left  i miss you,1
ey  calm downon theacusations   itxt u cos iwana know wotu r doin at thew/end    haventcn u in ages  ring me if ur up4 nething sat love j xxx ,1
horrible u eat macs eat until u forgot abt me already rite    u take so long 2 reply  i thk it s more toot than b4 so b prepared  now wat shall i eat ,1
so is there anything specific i should be doing with regards to jaklin or what because idk what the fuck,1
we live in the next   lt   gt  mins,1
it should take about   lt   gt   min,1
no no  this is kallis home ground amla home town is durban  ,1
you ve won tkts to the euro2004 cup final or £800 cash  to collect call 09058099801 b4190604  pobox 7876150ppm,0
ok ok take care  i can understand ,1
important information 4 orange user 0789xxxxxxx  today is your lucky day 2find out why log onto http //www urawinner com there s a fantastic surprise awaiting you ,0
you busy or can i come by at some point and figure out what we re doing tomorrow,1
